feature_file,scenario,step_num,step_name,glue_code,glue_code_file,language
cache.feature,Default Cache directory,1,"I have an ""index.md"" page that contains ""{{ site.title }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,2,"I have a configuration file with ""title"" set to ""Hello World""","Given(%r!^I have a configuration file with ""(.*)"" set to ""(.*)""$!) do |key, value|
  config = \
    if source_dir.join(""_config.yml"").exist?
      SafeYAML.load_file(source_dir.join(""_config.yml""))
    else
      {}
    end
  config[key] = SafeYAML.load(value)
  Jekyll.set_timezone(value) if key == ""timezone""
  File.write(""_config.yml"", YAML.dump(config))
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,3,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,4,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,5,the .jekyll-cache directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,6,the .jekyll-cache/Jekyll/Cache/Jekyll--Cache directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,7,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Default Cache directory,8,"I should see ""<p>Hello World</p>"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,1,"I have an ""index.md"" page that contains ""{{ site.title }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,2,I have a configuration file with,"Given(%r!^I have a configuration file with:$!) do |table|
  table.hashes.each do |row|
    step %(I have a configuration file with ""#{row[""key""]}"" set to ""#{row[""value""]}"")
  end
end

",step_definitions.rb,ruby
